"ID","TIME","RPM","TORQUE","POWER","PEAK_PEAK_PFS"
"188","2023-10-26 16:40:55","0","0","0","0"
"189","2023-10-26 16:45:55","0","0","0","0"
"190","2023-10-26 16:50:55","0","0","0","0"
"191","2023-10-26 16:55:55","0","0","0","0"
"192","2023-10-26 17:00:55","0","0","0","0"
"193","2023-10-26 17:05:55","0","0","0","0"
"194","2023-10-26 17:10:55","0","0","0","0"
"195","2023-10-26 17:15:55","0","0","0","0"
"196","2023-10-26 17:20:55","0","0","0","0"
"197","2023-10-26 17:25:55","0","0","0","0"
"198","2023-10-26 17:30:55","0","0","0","0"
"199","2023-10-26 17:35:55","0","0","0","0"
"200","2023-10-26 17:40:55","0","0","0","0"
"201","2023-10-26 17:45:55","0","0","0","0"
"202","2023-10-26 17:50:55","0","0","0","0"
"203","2023-10-26 17:55:55","0","0","0","0"
"204","2023-10-26 18:00:55","0","0","0","0"
"205","2023-10-26 18:10:59","0","0","0","0"
"206","2023-10-26 18:15:59","0","0","0","0"
"207","2023-10-26 18:24:08","0","0","0","0"
"208","2023-10-26 18:29:08","0","0","0","0"
"209","2023-10-26 18:34:08","0","0","0","0"
"210","2023-10-26 18:39:08","0","0","0","0"
"211","2023-10-26 18:44:08","0","0","0","0"
"212","2023-10-26 18:49:08","0","0","0","0"
"213","2023-10-26 18:54:08","0","0","0","0"
"214","2023-10-26 18:59:08","0","0","0","0"
"215","2023-10-26 19:04:08","0","0","0","0"
"216","2023-10-26 19:09:08","0","0","0","0"
"217","2023-10-26 19:14:08","0","0","0","0"
"218","2023-10-26 19:19:08","0","0","0","0"
"219","2023-10-26 19:24:08","0","0","0","0"
"220","2023-10-26 19:29:08","0","0","0","0"
"221","2023-10-26 19:34:08","0","0","0","0"
"222","2023-10-26 19:39:08","0","0","0","0"
"223","2023-10-26 19:44:08","0","0","0","0"
"224","2023-10-26 19:49:08","0","0","0","0"
"225","2023-10-26 19:54:08","0","0","0","0"
"226","2023-10-26 19:59:08","0","0","0","0"
"227","2023-10-26 20:04:08","0","0","0","0"
"228","2023-10-26 20:09:08","0","0","0","0"
"229","2023-10-26 20:21:10","0","0","0","0"
"230","2023-10-26 20:25:48","0","0","0","0"
"231","2023-10-26 20:30:48","0","0","0","0"
"232","2023-10-26 20:35:48","0","0","0","0"
"233","2023-10-26 20:40:48","0","0","0","0"
"234","2023-10-26 20:45:48","0","0","0","0"
"235","2023-10-26 20:50:48","0","0","0","0"
"236","2023-10-26 20:55:48","0","0","0","0"
"237","2023-10-26 21:00:48","0","0","0","0"
"238","2023-10-26 21:05:48","0","0","0","0"
"239","2023-10-26 21:10:48","0","0","0","0"
"240","2023-10-26 21:15:48","0","0","0","0"
"241","2023-10-26 21:20:48","0","0","0","0"
"242","2023-10-26 21:25:48","0","0","0","0"
"243","2023-10-26 21:30:48","0","0","0","0"
"244","2023-10-26 21:35:48","0","0","0","0"
"245","2023-10-26 21:40:48","0","0","0","0"
"246","2023-10-26 21:45:48","0","0","0","0"
"247","2023-10-26 21:50:48","0","0","0","0"
"248","2023-10-26 21:55:48","0","0","0","0"
"249","2023-10-26 22:06:07","0","0","0","0"
"250","2023-10-26 22:13:22","0","0","0","0"
"251","2023-10-26 22:18:22","0","0","0","0"
"252","2023-10-26 22:23:22","0","0","0","0"
"253","2023-10-26 22:28:22","0","0","0","0"
"254","2023-10-26 22:33:22","0","0","0","0"
"255","2023-10-26 22:38:22","0","0","0","0"
"256","2023-10-26 22:43:22","0","0","0","0"
"257","2023-10-26 22:48:22","0","0","0","0"
"258","2023-10-26 22:53:22","0","0","0","0"
"259","2023-10-26 22:58:22","0","0","0","0"
"260","2023-10-26 23:03:22","0","0","0","0"
"261","2023-10-26 23:08:22","0","0","0","0"
"262","2023-10-26 23:13:22","0","0","0","0"
"263","2023-10-26 23:18:22","0","0","0","0"
"264","2023-10-26 23:23:22","0","0","0","0"
"265","2023-10-26 23:28:22","0","0","0","0"
"266","2023-10-26 23:33:22","0","0","0","0"
"267","2023-10-26 23:38:22","0","0","0","0"
"268","2023-10-26 23:43:22","0","0","0","0"
"269","2023-10-26 23:48:22","0","0","0","0"
"270","2023-10-26 23:53:22","0","0","0","0"
"271","2023-10-26 23:58:22","0","0","0","0"
"272","2023-10-27 00:03:22","0","0","0","0"
"273","2023-10-27 00:08:22","0","0","0","0"
"274","2023-10-27 00:13:22","0","0","0","0"
"275","2023-10-27 00:18:22","0","0","0","0"
"276","2023-10-27 00:23:22","0","0","0","0"
"277","2023-10-27 00:28:22","0","0","0","0"
"278","2023-10-27 00:33:22","0","0","0","0"
"279","2023-10-27 00:38:22","0","0","0","0"
"280","2023-10-27 00:47:23","0","0","0","0"
"281","2023-10-27 00:52:23","0","0","0","0"
"282","2023-10-27 00:57:23","0","0","0","0"
"283","2023-10-27 01:02:23","0","0","0","0"
"284","2023-10-27 01:07:23","0","0","0","0"
"285","2023-10-27 01:12:23","0","0","0","0"
"286","2023-10-27 01:17:23","0","0","0","0"
"287","2023-10-27 01:22:23","0","0","0","0"
"288","2023-10-27 01:27:23","0","0","0","0"
"289","2023-10-27 01:32:23","0","0","0","0"
"290","2023-10-27 01:37:23","0","0","0","0"
"291","2023-10-27 01:42:23","0","0","0","0"
"292","2023-10-27 01:47:23","0","0","0","0"
"293","2023-10-27 01:52:23","0","0","0","0"
"294","2023-10-27 01:57:23","0","0","0","0"
"295","2023-10-27 02:02:23","0","0","0","0"
"296","2023-10-27 02:07:23","0","0","0","0"
"297","2023-10-27 02:12:23","0","0","0","0"
"298","2023-10-27 02:17:23","0","0","0","0"
"299","2023-10-27 02:22:23","0","0","0","0"
"300","2023-10-27 02:27:23","0","0","0","0"
"301","2023-10-27 02:32:23","0","0","0","0"
