"ID","TIME","PEAK_PEAK_PFS","PEAK_PEAK_KNM","MAIN_FREQ","SECOND_FREQ","TORQUE_HIGH","TORQUE_LOW","RPM_HIGH","RPM_LOW"
"41","2023-10-26 04:17:48","0","0","0","0","0","0","0","0"
"42","2023-10-26 04:22:48","0","0","0","0","0","0","0","0"
"43","2023-10-26 04:27:48","0","0","0","0","0","0","0","0"
"44","2023-10-26 04:32:48","0","0","0","0","0","0","0","0"
"45","2023-10-26 04:37:48","0","0","0","0","0","0","0","0"
"46","2023-10-26 04:42:48","0","0","0","0","0","0","0","0"
"47","2023-10-26 04:47:48","0","0","0","0","0","0","0","0"
"48","2023-10-26 04:52:48","0","0","0","0","0","0","0","0"
"49","2023-10-26 04:57:48","0","0","0","0","0","0","0","0"
"50","2023-10-26 05:02:48","0","0","0","0","0","0","0","0"
"51","2023-10-26 05:07:48","0","0","0","0","0","0","0","0"
"52","2023-10-26 05:12:48","0","0","0","0","0","0","0","0"
"53","2023-10-26 05:17:48","0","0","0","0","0","0","0","0"
"54","2023-10-26 05:22:48","0","0","0","0","0","0","0","0"
"55","2023-10-26 05:27:48","0","0","0","0","0","0","0","0"
"56","2023-10-26 05:32:48","0","0","0","0","0","0","0","0"
"57","2023-10-26 05:37:48","0","0","0","0","0","0","0","0"
"58","2023-10-26 05:42:48","0","0","0","0","0","0","0","0"
"59","2023-10-26 05:47:48","0","0","0","0","0","0","0","0"
"60","2023-10-26 05:52:48","0","0","0","0","0","0","0","0"
"61","2023-10-26 05:57:48","0","0","0","0","0","0","0","0"
"62","2023-10-26 06:02:48","0","0","0","0","0","0","0","0"
"63","2023-10-26 06:07:48","0","0","0","0","0","0","0","0"
"64","2023-10-26 06:12:48","0","0","0","0","0","0","0","0"
"65","2023-10-26 06:17:48","0","0","0","0","0","0","0","0"
"66","2023-10-26 06:22:48","0","0","0","0","0","0","0","0"
"67","2023-10-26 06:27:48","0","0","0","0","0","0","0","0"
"68","2023-10-26 06:32:48","0","0","0","0","0","0","0","0"
"69","2023-10-26 06:37:48","0","0","0","0","0","0","0","0"
"70","2023-10-26 06:42:48","0","0","0","0","0","0","0","0"
"71","2023-10-26 06:47:48","0","0","0","0","0","0","0","0"
"72","2023-10-26 06:52:48","0","0","0","0","0","0","0","0"
"73","2023-10-26 06:57:48","0","0","0","0","0","0","0","0"
"74","2023-10-26 07:02:48","0","0","0","0","0","0","0","0"
"75","2023-10-26 07:07:48","0","0","0","0","0","0","0","0"
"76","2023-10-26 07:12:48","0","0","0","0","0","0","0","0"
"77","2023-10-26 07:17:48","0","0","0","0","0","0","0","0"
"78","2023-10-26 07:22:48","0","0","0","0","0","0","0","0"
"79","2023-10-26 07:27:48","0","0","0","0","0","0","0","0"
"80","2023-10-26 07:32:48","0","0","0","0","0","0","0","0"
"81","2023-10-26 07:37:48","0","0","0","0","0","0","0","0"
"82","2023-10-26 07:42:48","0","0","0","0","0","0","0","0"
"83","2023-10-26 07:47:48","0","0","0","0","0","0","0","0"
"84","2023-10-26 07:52:48","0","0","0","0","0","0","0","0"
"85","2023-10-26 07:57:48","0","0","0","0","0","0","0","0"
"86","2023-10-26 08:02:48","0","0","0","0","0","0","0","0"
"87","2023-10-26 08:07:48","0","0","0","0","0","0","0","0"
"88","2023-10-26 08:12:48","0","0","0","0","0","0","0","0"
"89","2023-10-26 08:17:48","0","0","0","0","0","0","0","0"
"90","2023-10-26 08:22:48","0","0","0","0","0","0","0","0"
"91","2023-10-26 08:27:48","0","0","0","0","0","0","0","0"
"92","2023-10-26 08:32:48","0","0","0","0","0","0","0","0"
"93","2023-10-26 08:37:48","0","0","0","0","0","0","0","0"
"94","2023-10-26 08:42:48","0","0","0","0","0","0","0","0"
"95","2023-10-26 08:47:48","0","0","0","0","0","0","0","0"
"96","2023-10-26 08:52:48","0","0","0","0","0","0","0","0"
"97","2023-10-26 08:57:48","0","0","0","0","0","0","0","0"
"98","2023-10-26 09:02:48","0","0","0","0","0","0","0","0"
"99","2023-10-26 09:07:48","0","0","0","0","0","0","0","0"
"100","2023-10-26 09:12:48","0","0","0","0","0","0","0","0"
"101","2023-10-26 09:17:48","0","0","0","0","0","0","0","0"
"102","2023-10-26 09:22:48","0","0","0","0","0","0","0","0"
"103","2023-10-26 09:27:48","0","0","0","0","0","0","0","0"
"104","2023-10-26 09:32:48","0","0","0","0","0","0","0","0"
"105","2023-10-26 09:37:48","0","0","0","0","0","0","0","0"
"106","2023-10-26 09:42:48","0","0","0","0","0","0","0","0"
"107","2023-10-26 09:47:48","0","0","0","0","0","0","0","0"
"108","2023-10-26 09:52:48","0","0","0","0","0","0","0","0"
"109","2023-10-26 09:57:48","0","0","0","0","0","0","0","0"
"110","2023-10-26 10:02:48","0","0","0","0","0","0","0","0"
"111","2023-10-26 10:07:48","0","0","0","0","0","0","0","0"
"112","2023-10-26 10:12:48","0","0","0","0","0","0","0","0"
"113","2023-10-26 10:17:48","0","0","0","0","0","0","0","0"
"114","2023-10-26 10:22:48","0","0","0","0","0","0","0","0"
"115","2023-10-26 10:27:48","0","0","0","0","0","0","0","0"
"116","2023-10-26 10:32:48","0","0","0","0","0","0","0","0"
"117","2023-10-26 10:37:48","0","0","0","0","0","0","0","0"
"118","2023-10-26 10:42:48","0","0","0","0","0","0","0","0"
"119","2023-10-26 10:47:48","0","0","0","0","0","0","0","0"
"120","2023-10-26 10:52:48","0","0","0","0","0","0","0","0"
"121","2023-10-26 10:57:48","0","0","0","0","0","0","0","0"
"122","2023-10-26 11:02:48","0","0","0","0","0","0","0","0"
"123","2023-10-26 11:07:48","0","0","0","0","0","0","0","0"
"124","2023-10-26 11:12:48","0","0","0","0","0","0","0","0"
"125","2023-10-26 11:17:48","0","0","0","0","0","0","0","0"
"126","2023-10-26 11:22:48","0","0","0","0","0","0","0","0"
"127","2023-10-26 11:27:48","0","0","0","0","0","0","0","0"
"128","2023-10-26 11:32:48","0","0","0","0","0","0","0","0"
"129","2023-10-26 11:37:48","0","0","0","0","0","0","0","0"
"130","2023-10-26 11:42:48","0","0","0","0","0","0","0","0"
"131","2023-10-26 11:47:48","0","0","0","0","0","0","0","0"
"132","2023-10-26 11:52:48","0","0","0","0","0","0","0","0"
"133","2023-10-26 11:57:48","0","0","0","0","0","0","0","0"
"134","2023-10-26 12:02:48","0","0","0","0","0","0","0","0"
"135","2023-10-26 12:07:48","0","0","0","0","0","0","0","0"
"136","2023-10-26 12:12:48","0","0","0","0","0","0","0","0"
"137","2023-10-26 12:17:48","0","0","0","0","0","0","0","0"
"138","2023-10-26 12:22:48","0","0","0","0","0","0","0","0"
"139","2023-10-26 12:27:48","0","0","0","0","0","0","0","0"
"140","2023-10-26 12:32:48","0","0","0","0","0","0","0","0"
"141","2023-10-26 12:37:48","0","0","0","0","0","0","0","0"
"142","2023-10-26 12:42:48","0","0","0","0","0","0","0","0"
"143","2023-10-26 12:47:48","0","0","0","0","0","0","0","0"
"144","2023-10-26 12:52:48","0","0","0","0","0","0","0","0"
"145","2023-10-26 12:57:48","0","0","0","0","0","0","0","0"
"146","2023-10-26 13:02:48","0","0","0","0","0","0","0","0"
"147","2023-10-26 13:07:48","0","0","0","0","0","0","0","0"
"148","2023-10-26 13:12:48","0","0","0","0","0","0","0","0"
"149","2023-10-26 13:17:48","0","0","0","0","0","0","0","0"
